episode,episode_length,episode_reward,learning_rate
876,8,1.0,0.0003
877,20,1.0,0.0003
878,9,1.0,0.0003
879,18,1.0,0.0003
880,7,1.0,0.0003
881,24,1.0,0.0003
882,13,1.0,0.0003
883,17,1.0,0.0003
884,10,1.0,0.0003
885,22,1.0,0.0003
886,9,1.0,0.0003
887,20,1.0,0.0003
888,8,1.0,0.0003
889,24,1.0,0.0003
890,13,1.0,0.0003
891,15,1.0,0.0003
892,9,1.0,0.0003
893,20,-1.0,0.0003
894,11,1.0,0.0003
895,22,1.0,0.0003
896,7,1.0,0.0003
897,22,1.0,0.0003
898,13,1.0,0.0003
899,18,1.0,0.0003
900,25,1.0,0.0003
901,22,1.0,0.0003
902,9,1.0,0.0003
903,21,1.0,0.0003
904,7,1.0,0.0003
905,24,1.0,0.0003
906,22,1.0,0.0003
907,17,1.0,0.0003
908,25,1.0,0.0003
909,23,1.0,0.0003
910,8,1.0,0.0003
911,16,1.0,0.0003
912,8,1.0,0.0003
913,23,1.0,0.0003
914,8,1.0,0.0003
915,25,-1.0,0.0003
916,7,1.0,0.0003
917,23,1.0,0.0003
918,13,1.0,0.0003
919,24,1.0,0.0003
920,7,1.0,0.0003
921,23,1.0,0.0003
922,16,-1.0,0.0003
923,17,1.0,0.0003
924,10,1.0,0.0003
925,24,1.0,0.0003
926,9,1.0,0.0003
927,21,1.0,0.0003
928,8,1.0,0.0003
929,20,1.0,0.0003
930,10,1.0,0.0003
931,22,1.0,0.0003
932,9,1.0,0.0003
933,25,-1.0,0.0003
934,10,1.0,0.0003
935,23,1.0,0.0003
936,10,1.0,0.0003
937,24,1.0,0.0003
938,7,1.0,0.0003
939,23,1.0,0.0003
940,10,1.0,0.0003
941,22,1.0,0.0003
942,10,1.0,0.0003
943,19,1.0,0.0003
944,7,1.0,0.0003
945,23,1.0,0.0003
946,10,1.0,0.0003
947,22,1.0,0.0003
948,9,1.0,0.0003
949,24,1.0,0.0003
950,10,1.0,0.0003
951,17,1.0,0.0003
952,14,1.0,0.0003
953,25,-1.0,0.0003
954,8,1.0,0.0003
955,21,1.0,0.0003
956,23,1.0,0.0003
957,24,1.0,0.0003
958,7,1.0,0.0003
959,23,1.0,0.0003
960,7,1.0,0.0003
961,23,1.0,0.0003
962,11,1.0,0.0003
963,21,1.0,0.0003
964,7,1.0,0.0003
965,20,1.0,0.0003
966,9,1.0,0.0003
967,20,1.0,0.0003
968,7,1.0,0.0003
969,20,-1.0,0.0003
970,11,1.0,0.0003
971,24,1.0,0.0003
972,10,1.0,0.0003
973,25,-1.0,0.0003
974,8,1.0,0.0003
975,25,-1.0,0.0003
976,9,1.0,0.0003
977,22,1.0,0.0003
978,8,1.0,0.0003
979,24,1.0,0.0003
980,9,1.0,0.0003
981,23,1.0,0.0003
982,7,1.0,0.0003
983,24,1.0,0.0003
984,15,-1.0,0.0003
985,20,1.0,0.0003
986,10,1.0,0.0003
987,24,1.0,0.0003
988,9,1.0,0.0003
989,25,-1.0,0.0003
990,8,1.0,0.0003
991,20,-1.0,0.0003
992,8,1.0,0.0003
993,24,1.0,0.0003
994,8,1.0,0.0003
995,22,1.0,0.0003
996,9,1.0,0.0003
997,25,-1.0,0.0003
998,9,1.0,0.0003
999,24,1.0,0.0003
1000,9,1.0,0.0003
1001,21,-1.0,0.0003
1002,9,1.0,0.0003
1003,25,-1.0,0.0003
1004,9,1.0,0.0003
1005,22,1.0,0.0003
1006,21,1.0,0.0003
1007,24,-1.0,0.0003
1008,7,1.0,0.0003
1009,23,1.0,0.0003
1010,7,1.0,0.0003
1011,23,1.0,0.0003
1012,14,1.0,0.0003
1013,24,1.0,0.0003
1014,7,1.0,0.0003
1015,19,1.0,0.0003
1016,9,1.0,0.0003
1017,23,1.0,0.0003
1018,10,1.0,0.0003
1019,23,-1.0,0.0003
1020,7,1.0,0.0003
1021,24,1.0,0.0003
1022,8,1.0,0.0003
1023,22,1.0,0.0003
1024,17,1.0,0.0003
1025,23,1.0,0.0003
1026,9,1.0,0.0003
1027,24,1.0,0.0003
1028,9,1.0,0.0003
1029,19,1.0,0.0003
1030,24,-1.0,0.0003
1031,25,-1.0,0.0003
1032,8,1.0,0.0003
1033,20,1.0,0.0003
1034,7,1.0,0.0003
1035,24,-1.0,0.0003
1036,9,1.0,0.0003
1037,21,1.0,0.0003
1038,12,1.0,0.0003
1039,19,1.0,0.0003
1040,10,1.0,0.0003
1041,24,-1.0,0.0003
1042,9,1.0,0.0003
1043,24,1.0,0.0003
1044,7,1.0,0.0003
1045,22,1.0,0.0003
1046,7,1.0,0.0003
1047,24,1.0,0.0003
1048,7,1.0,0.0003
1049,24,1.0,0.0003
1050,8,1.0,0.0003
1051,22,1.0,0.0003
1052,11,1.0,0.0003
